type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EBDCE0CD;10;5;-100;20;5;SF7BW125;2025-07-03 16:58:42;{"RSSI": -100, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 16:58:57;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-99;20;5;SF7BW125;2025-07-03 16:59:12;{"RSSI": -99, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-99;20;5;SF7BW125;2025-07-03 16:59:27;{"RSSI": -99, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-98;20;5;SF7BW125;2025-07-03 16:59:42;{"RSSI": -98, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-99;20;5;SF7BW125;2025-07-03 16:59:58;{"RSSI": -99, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-98;20;5;SF7BW125;2025-07-03 17:00:13;{"RSSI": -98, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-100;20;5;SF7BW125;2025-07-03 17:00:28;{"RSSI": -100, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-99;20;5;SF7BW125;2025-07-03 17:00:43;{"RSSI": -99, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-101;20;5;SF7BW125;2025-07-03 17:00:58;{"RSSI": -101, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-100;20;5;SF7BW125;2025-07-03 17:01:14;{"RSSI": -100, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-101;20;5;SF7BW125;2025-07-03 17:01:29;{"RSSI": -101, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;5;-99;20;5;SF7BW125;2025-07-03 17:01:44;{"RSSI": -99, "SNR": 5, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-95;20;5;SF7BW125;2025-07-03 17:01:59;{"RSSI": -95, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 17:02:15;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 17:02:30;{"RSSI": -97, "SNR": 6, "TC": 24.5}
24;0000B827EBDCE0CD;10;7;-97;20;5;SF7BW125;2025-07-03 17:02:45;{"RSSI": -97, "SNR": 7, "TC": 24.5}
24;0000B827EBDCE0CD;10;6;-97;20;5;SF7BW125;2025-07-03 17:03:00;{"RSSI": -97, "SNR": 6, "TC": 24.5}
