type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data;timestamp;sf;bw;config;sf_category;time_minutes;time_diff_seconds;time_diff_seconds_within_config;temperature
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:52:11;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 21.3}";2025-07-05 02:52:11;12;500;12_BW500_20B;MAX-SF12;492.51666666666665;16.0;16.0;21.3
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:52:28;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 20.27}";2025-07-05 02:52:28;12;500;12_BW500_20B;MAX-SF12;492.8;17.0;17.0;20.27
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 02:52:44;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 28.55}";2025-07-05 02:52:44;12;500;12_BW500_20B;MAX-SF12;493.06666666666666;16.0;16.0;28.55
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:53:00;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 21.65}";2025-07-05 02:53:00;12;500;12_BW500_20B;MAX-SF12;493.3333333333333;16.0;16.0;21.65
24;0000B827EB24A52C;20;5;-81;20;5;SF12BW500;2025-07-05 02:53:17;"{""RSSI"": -81, ""SNR"": 5, ""TC"": 21.37}";2025-07-05 02:53:17;12;500;12_BW500_20B;MAX-SF12;493.6166666666667;17.0;17.0;21.37
24;0000B827EB24A52C;20;5;-84;20;5;SF12BW500;2025-07-05 02:53:33;"{""RSSI"": -84, ""SNR"": 5, ""TC"": 23.62}";2025-07-05 02:53:33;12;500;12_BW500_20B;MAX-SF12;493.8833333333333;16.0;16.0;23.62
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:53:49;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 22.01}";2025-07-05 02:53:49;12;500;12_BW500_20B;MAX-SF12;494.15;16.0;16.0;22.01
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:54:06;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 20.28}";2025-07-05 02:54:06;12;500;12_BW500_20B;MAX-SF12;494.43333333333334;17.0;17.0;20.28
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 02:54:22;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 27.64}";2025-07-05 02:54:22;12;500;12_BW500_20B;MAX-SF12;494.7;16.0;16.0;27.64
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:54:38;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 20.53}";2025-07-05 02:54:38;12;500;12_BW500_20B;MAX-SF12;494.96666666666664;16.0;16.0;20.53
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:54:55;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 22.56}";2025-07-05 02:54:55;12;500;12_BW500_20B;MAX-SF12;495.25;17.0;17.0;22.56
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:55:11;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 23.26}";2025-07-05 02:55:11;12;500;12_BW500_20B;MAX-SF12;495.51666666666665;16.0;16.0;23.26
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:55:27;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 27.0}";2025-07-05 02:55:27;12;500;12_BW500_20B;MAX-SF12;495.78333333333336;16.0;16.0;27.0
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:55:44;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 22.95}";2025-07-05 02:55:44;12;500;12_BW500_20B;MAX-SF12;496.06666666666666;17.0;17.0;22.95
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:56:00;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 25.51}";2025-07-05 02:56:00;12;500;12_BW500_20B;MAX-SF12;496.3333333333333;16.0;16.0;25.51
24;0000B827EB24A52C;20;5;-85;20;5;SF12BW500;2025-07-05 02:56:16;"{""RSSI"": -85, ""SNR"": 5, ""TC"": 22.84}";2025-07-05 02:56:16;12;500;12_BW500_20B;MAX-SF12;496.6;16.0;16.0;22.84
24;0000B827EB24A52C;20;5;-85;20;5;SF12BW500;2025-07-05 02:56:33;"{""RSSI"": -85, ""SNR"": 5, ""TC"": 26.63}";2025-07-05 02:56:33;12;500;12_BW500_20B;MAX-SF12;496.8833333333333;17.0;17.0;26.63
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:56:49;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 28.62}";2025-07-05 02:56:49;12;500;12_BW500_20B;MAX-SF12;497.15;16.0;16.0;28.62
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:57:05;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 28.6}";2025-07-05 02:57:05;12;500;12_BW500_20B;MAX-SF12;497.4166666666667;16.0;16.0;28.6
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:57:22;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 27.38}";2025-07-05 02:57:22;12;500;12_BW500_20B;MAX-SF12;497.7;17.0;17.0;27.38
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:57:38;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 26.64}";2025-07-05 02:57:38;12;500;12_BW500_20B;MAX-SF12;497.96666666666664;16.0;16.0;26.64
24;0000B827EB24A52C;20;7;-83;20;5;SF12BW500;2025-07-05 02:57:54;"{""RSSI"": -83, ""SNR"": 7, ""TC"": 28.6}";2025-07-05 02:57:54;12;500;12_BW500_20B;MAX-SF12;498.23333333333335;16.0;16.0;28.6
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:58:11;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 28.02}";2025-07-05 02:58:11;12;500;12_BW500_20B;MAX-SF12;498.51666666666665;17.0;17.0;28.02
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 02:58:27;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 23.62}";2025-07-05 02:58:27;12;500;12_BW500_20B;MAX-SF12;498.78333333333336;16.0;16.0;23.62
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:58:44;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 28.1}";2025-07-05 02:58:44;12;500;12_BW500_20B;MAX-SF12;499.06666666666666;17.0;17.0;28.1
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:59:00;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 23.84}";2025-07-05 02:59:00;12;500;12_BW500_20B;MAX-SF12;499.3333333333333;16.0;16.0;23.84
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:59:16;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 22.21}";2025-07-05 02:59:16;12;500;12_BW500_20B;MAX-SF12;499.6;16.0;16.0;22.21
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:59:33;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 27.87}";2025-07-05 02:59:33;12;500;12_BW500_20B;MAX-SF12;499.8833333333333;17.0;17.0;27.87
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:59:49;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 23.76}";2025-07-05 02:59:49;12;500;12_BW500_20B;MAX-SF12;500.15;16.0;16.0;23.76
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 03:00:05;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 27.86}";2025-07-05 03:00:05;12;500;12_BW500_20B;MAX-SF12;500.4166666666667;16.0;16.0;27.86
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 03:00:22;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 26.57}";2025-07-05 03:00:22;12;500;12_BW500_20B;MAX-SF12;500.7;17.0;17.0;26.57
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:00:38;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 22.04}";2025-07-05 03:00:38;12;500;12_BW500_20B;MAX-SF12;500.96666666666664;16.0;16.0;22.04
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:00:54;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 26.73}";2025-07-05 03:00:54;12;500;12_BW500_20B;MAX-SF12;501.23333333333335;16.0;16.0;26.73
24;0000B827EB24A52C;20;7;-83;20;5;SF12BW500;2025-07-05 03:01:11;"{""RSSI"": -83, ""SNR"": 7, ""TC"": 24.94}";2025-07-05 03:01:11;12;500;12_BW500_20B;MAX-SF12;501.51666666666665;17.0;17.0;24.94
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:01:27;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 25.21}";2025-07-05 03:01:27;12;500;12_BW500_20B;MAX-SF12;501.78333333333336;16.0;16.0;25.21
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 03:01:43;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 23.62}";2025-07-05 03:01:43;12;500;12_BW500_20B;MAX-SF12;502.05;16.0;16.0;23.62
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 03:02:00;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 23.84}";2025-07-05 03:02:00;12;500;12_BW500_20B;MAX-SF12;502.3333333333333;17.0;17.0;23.84
24;0000B827EB24A52C;20;6;-85;20;5;SF12BW500;2025-07-05 03:02:16;"{""RSSI"": -85, ""SNR"": 6, ""TC"": 26.79}";2025-07-05 03:02:16;12;500;12_BW500_20B;MAX-SF12;502.6;16.0;16.0;26.79
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 03:02:32;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 21.95}";2025-07-05 03:02:32;12;500;12_BW500_20B;MAX-SF12;502.8666666666667;16.0;16.0;21.95
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 03:02:49;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 26.72}";2025-07-05 03:02:49;12;500;12_BW500_20B;MAX-SF12;503.15;17.0;17.0;26.72
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:03:05;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 22.23}";2025-07-05 03:03:05;12;500;12_BW500_20B;MAX-SF12;503.4166666666667;16.0;16.0;22.23
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:03:21;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 23.62}";2025-07-05 03:03:21;12;500;12_BW500_20B;MAX-SF12;503.68333333333334;16.0;16.0;23.62
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:03:38;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 23.43}";2025-07-05 03:03:38;12;500;12_BW500_20B;MAX-SF12;503.96666666666664;17.0;17.0;23.43
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 03:03:54;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 20.43}";2025-07-05 03:03:54;12;500;12_BW500_20B;MAX-SF12;504.23333333333335;16.0;16.0;20.43
24;0000B827EB24A52C;20;5;-81;20;5;SF12BW500;2025-07-05 03:04:10;"{""RSSI"": -81, ""SNR"": 5, ""TC"": 26.35}";2025-07-05 03:04:10;12;500;12_BW500_20B;MAX-SF12;504.5;16.0;16.0;26.35
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 03:04:27;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 23.81}";2025-07-05 03:04:27;12;500;12_BW500_20B;MAX-SF12;504.78333333333336;17.0;17.0;23.81
24;0000B827EB24A52C;20;4;-85;20;5;SF12BW500;2025-07-05 03:04:43;"{""RSSI"": -85, ""SNR"": 4, ""TC"": 28.8}";2025-07-05 03:04:43;12;500;12_BW500_20B;MAX-SF12;505.05;16.0;16.0;28.8
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:05:00;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 22.72}";2025-07-05 03:05:00;12;500;12_BW500_20B;MAX-SF12;505.3333333333333;17.0;17.0;22.72
24;0000B827EB24A52C;20;7;-82;20;5;SF12BW500;2025-07-05 03:05:16;"{""RSSI"": -82, ""SNR"": 7, ""TC"": 28.94}";2025-07-05 03:05:16;12;500;12_BW500_20B;MAX-SF12;505.6;16.0;16.0;28.94
24;0000B827EB24A52C;20;7;-82;20;5;SF12BW500;2025-07-05 03:05:32;"{""RSSI"": -82, ""SNR"": 7, ""TC"": 23.3}";2025-07-05 03:05:32;12;500;12_BW500_20B;MAX-SF12;505.8666666666667;16.0;16.0;23.3
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 03:05:49;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 28.19}";2025-07-05 03:05:49;12;500;12_BW500_20B;MAX-SF12;506.15;17.0;17.0;28.19
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:06:05;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 27.95}";2025-07-05 03:06:05;12;500;12_BW500_20B;MAX-SF12;506.4166666666667;16.0;16.0;27.95
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:06:21;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 26.75}";2025-07-05 03:06:21;12;500;12_BW500_20B;MAX-SF12;506.68333333333334;16.0;16.0;26.75
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:06:38;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 25.43}";2025-07-05 03:06:38;12;500;12_BW500_20B;MAX-SF12;506.96666666666664;17.0;17.0;25.43
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 03:06:54;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 23.82}";2025-07-05 03:06:54;12;500;12_BW500_20B;MAX-SF12;507.23333333333335;16.0;16.0;23.82
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 03:07:10;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 20.17}";2025-07-05 03:07:10;12;500;12_BW500_20B;MAX-SF12;507.5;16.0;16.0;20.17
