type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EB24A52C;20;8;-72;50;5;SF9BW125;2025-07-07 00:06:54;{"RSSI": -72, "SNR": 8, "TC": 28.21}
24;0000B827EB24A52C;20;8;-71;50;5;SF9BW125;2025-07-07 00:07:10;{"RSSI": -71, "SNR": 8, "TC": 26.27}
24;0000B827EB24A52C;20;8;-70;50;5;SF9BW125;2025-07-07 00:07:26;{"RSSI": -70, "SNR": 8, "TC": 21.45}
24;0000B827EB24A52C;20;8;-73;50;5;SF9BW125;2025-07-07 00:07:42;{"RSSI": -73, "SNR": 8, "TC": 22.02}
24;0000B827EB24A52C;20;8;-71;50;5;SF9BW125;2025-07-07 00:08:15;{"RSSI": -71, "SNR": 8, "TC": 26.94}
24;0000B827EB24A52C;20;8;-73;50;5;SF9BW125;2025-07-07 00:08:31;{"RSSI": -73, "SNR": 8, "TC": 26.93}
24;0000B827EB24A52C;20;8;-71;50;5;SF9BW125;2025-07-07 00:08:47;{"RSSI": -71, "SNR": 8, "TC": 25.76}
24;0000B827EB24A52C;20;8;-72;50;5;SF9BW125;2025-07-07 00:09:03;{"RSSI": -72, "SNR": 8, "TC": 27.44}
24;0000B827EB24A52C;20;8;-71;50;5;SF9BW125;2025-07-07 00:09:19;{"RSSI": -71, "SNR": 8, "TC": 28.69}
24;0000B827EB24A52C;20;7;-69;50;5;SF9BW125;2025-07-07 00:09:35;{"RSSI": -69, "SNR": 7, "TC": 25.07}
24;0000B827EB24A52C;20;7;-69;50;5;SF9BW125;2025-07-07 00:09:51;{"RSSI": -69, "SNR": 7, "TC": 27.92}
24;0000B827EB24A52C;20;8;-68;50;5;SF9BW125;2025-07-07 00:10:07;{"RSSI": -68, "SNR": 8, "TC": 24.04}
24;0000B827EB24A52C;20;6;-68;50;5;SF9BW125;2025-07-07 00:10:23;{"RSSI": -68, "SNR": 6, "TC": 23.69}
24;0000B827EB24A52C;20;8;-70;50;5;SF9BW125;2025-07-07 00:10:39;{"RSSI": -70, "SNR": 8, "TC": 24.27}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:10:55;{"RSSI": -69, "SNR": 8, "TC": 28.92}
24;0000B827EB24A52C;20;6;-69;50;5;SF9BW125;2025-07-07 00:11:11;{"RSSI": -69, "SNR": 6, "TC": 23.61}
24;0000B827EB24A52C;20;7;-69;50;5;SF9BW125;2025-07-07 00:11:27;{"RSSI": -69, "SNR": 7, "TC": 27.86}
24;0000B827EB24A52C;20;6;-68;50;5;SF9BW125;2025-07-07 00:11:43;{"RSSI": -68, "SNR": 6, "TC": 25.31}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:11:58;{"RSSI": -69, "SNR": 8, "TC": 27.55}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:12:14;{"RSSI": -69, "SNR": 8, "TC": 20.87}
24;0000B827EB24A52C;20;8;-77;50;5;SF9BW125;2025-07-07 00:12:30;{"RSSI": -77, "SNR": 8, "TC": 27.34}
24;0000B827EB24A52C;20;7;-73;50;5;SF9BW125;2025-07-07 00:12:46;{"RSSI": -73, "SNR": 7, "TC": 28.56}
24;0000B827EB24A52C;20;8;-70;50;5;SF9BW125;2025-07-07 00:13:02;{"RSSI": -70, "SNR": 8, "TC": 21.09}
24;0000B827EB24A52C;20;8;-70;50;5;SF9BW125;2025-07-07 00:13:18;{"RSSI": -70, "SNR": 8, "TC": 21.76}
24;0000B827EB24A52C;20;8;-70;50;5;SF9BW125;2025-07-07 00:13:34;{"RSSI": -70, "SNR": 8, "TC": 22.1}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:13:50;{"RSSI": -69, "SNR": 8, "TC": 27.51}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:14:06;{"RSSI": -69, "SNR": 8, "TC": 25.3}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:14:22;{"RSSI": -69, "SNR": 8, "TC": 23.1}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:14:38;{"RSSI": -69, "SNR": 8, "TC": 26.75}
24;0000B827EB24A52C;20;8;-70;50;5;SF9BW125;2025-07-07 00:14:54;{"RSSI": -70, "SNR": 8, "TC": 27.27}
